iter	Passed	Remaining
0	167	167486
1	168	84110
2	169	56381
3	170	42476
4	172	34383
5	173	28780
6	174	24791
7	175	21794
8	176	19464
9	177	17591
10	178	16054
11	179	14778
12	180	13694
13	181	12776
14	182	11980
15	183	11282
16	184	10664
17	186	10148
18	187	9670
19	188	9227
20	189	8823
21	190	8456
22	191	8123
23	192	7814
24	193	7528
25	193	7266
26	194	7023
27	195	6801
28	196	6593
29	197	6399
30	199	6221
31	200	6067
32	201	5905
33	202	5751
34	203	5605
35	204	5471
36	205	5340
37	206	5219
38	207	5103
39	208	4993
40	209	4889
41	210	4791
42	210	4695
43	212	4608
44	213	4525
45	216	4481
46	216	4399
47	217	4321
48	218	4248
49	219	4176
50	220	4109
51	221	4041
52	222	3977
53	223	3917
54	224	3859
55	225	3801
56	226	3747
57	227	3695
58	229	3654
59	230	3605
60	231	3557
61	232	3510
62	232	3464
63	233	3419
64	234	3377
65	235	3335
66	236	3295
67	237	3256
68	238	3218
69	239	3181
70	240	3146
71	241	3112
72	242	3084
73	243	3051
74	244	3018
75	245	2986
76	246	2955
77	247	2925
78	248	2895
79	249	2866
80	250	2839
81	251	2812
82	251	2781
83	252	2755
84	253	2732
85	254	2708
86	255	2684
87	257	2673
88	259	2653
89	260	2632
90	261	2610
91	262	2587
92	263	2566
93	264	2545
94	264	2524
95	265	2503
96	266	2484
97	267	2466
98	268	2446
99	269	2428
100	270	2409
101	272	2399
102	273	2383
103	274	2366
104	275	2349
105	276	2331
106	277	2315
107	278	2299
108	279	2283
109	280	2268
110	281	2252
111	282	2238
112	283	2222
113	284	2207
114	284	2191
115	285	2177
116	287	2166
117	287	2152
118	288	2138
119	289	2123
120	290	2110
121	291	2095
122	292	2083
123	293	2070
124	293	2057
125	294	2044
126	295	2031
127	296	2019
128	297	2007
129	298	1995
130	299	1983
131	299	1972
132	301	1965
133	303	1960
134	304	1949
135	305	1938
136	306	1927
137	306	1917
138	307	1906
139	308	1896
140	309	1885
141	310	1873
142	310	1863
143	311	1854
144	312	1844
145	313	1834
146	314	1825
147	316	1820
148	317	1813
